iter	Passed	Remaining
0	1	139
1	2	128
2	3	121
3	4	111
4	5	109
5	6	107
6	7	105
7	9	104
8	10	101
9	11	99
10	12	97
11	13	97
12	14	96
13	15	95
14	16	94
15	17	93
16	18	92
17	20	91
18	21	90
19	22	89
20	23	88
21	24	86
22	25	85
23	26	85
24	28	85
25	29	84
26	30	83
27	32	82
28	33	81
29	34	79
30	35	78
31	36	77
32	37	76
33	38	74
34	47	89
35	49	87
36	50	86
37	51	84
38	52	82
39	53	80
40	54	79
41	55	76
42	56	75
43	57	73
44	59	72
45	60	70
46	61	69
47	62	67
48	63	65
49	64	64
50	65	62
51	66	61
52	67	60
53	68	58
54	69	56
55	70	55
56	71	53
57	72	52
58	73	51
59	74	49
60	76	48
61	77	47
62	78	46
63	79	44
64	80	43
65	81	42
66	82	40
67	83	39
68	84	38
69	85	36
70	87	35
71	88	34
72	89	33
73	90	31
74	91	30
75	92	29
76	93	28
77	95	26
78	96	25
79	97	24
80	98	23
81	99	21
82	101	20
83	102	19
84	103	18
85	104	17
86	105	15
87	106	14
88	108	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	114	6
95	116	4
96	117	3
97	118	2
98	120	1
99	121	0
