iter	Passed	Remaining
0	135	135331
1	144	72224
2	152	50831
3	155	38828
4	159	31676
5	161	26745
6	165	23442
7	166	20645
8	167	18452
9	168	16710
10	170	15290
11	171	14085
12	172	13062
13	173	12202
14	174	11445
15	175	10780
16	177	10255
17	178	9730
18	179	9260
19	180	8835
20	181	8453
21	182	8103
22	183	7810
23	185	7542
24	186	7280
25	188	7043
26	189	6824
27	192	6668
28	193	6473
29	194	6285
30	195	6117
31	196	5951
32	197	5796
33	198	5648
34	199	5508
35	200	5376
36	201	5250
37	202	5134
38	203	5022
39	206	4963
40	207	4860
41	208	4762
42	209	4668
43	210	4579
44	211	4492
45	212	4409
46	213	4330
47	214	4255
48	215	4188
49	216	4122
50	218	4060
51	220	4021
52	221	3958
53	222	3897
54	223	3839
55	224	3782
56	225	3727
57	226	3675
58	227	3624
59	228	3575
60	229	3527
61	230	3480
62	231	3435
63	231	3392
64	234	3373
65	235	3333
66	236	3293
67	237	3254
68	238	3217
69	239	3180
70	240	3144
71	241	3109
72	242	3075
73	243	3044
74	244	3011
75	245	2980
76	246	2950
77	248	2940
78	250	2917
79	251	2891
80	252	2864
81	253	2838
82	254	2808
83	255	2785
84	256	2760
85	257	2735
86	258	2711
87	259	2688
88	260	2664
89	261	2642
90	262	2623
91	264	2607
92	265	2586
93	266	2565
94	267	2545
95	268	2525
96	269	2506
97	270	2486
98	271	2467
99	272	2448
100	272	2429
101	273	2411
102	274	2393
103	275	2376
104	276	2359
105	278	2352
106	279	2336
107	280	2320
108	281	2303
109	282	2288
110	283	2273
111	284	2258
112	285	2244
113	286	2229
114	287	2214
115	288	2200
116	289	2184
117	290	2170
118	291	2157
119	293	2152
120	294	2140
121	295	2125
122	296	2113
123	297	2100
124	298	2088
125	299	2076
126	300	2063
127	301	2051
128	302	2040
129	303	2028
130	304	2017
131	305	2005
132	305	1994
133	307	1986
134	308	1977
135	309	1967
136	310	1957
137	311	1947
138	312	1937
139	313	1926
140	314	1916
141	315	1905
142	316	1895
143	317	1885
144	318	1876
145	319	1866
146	320	1857
147	321	1848
148	323	1845
149	324	1837
150	325	1828
151	326	1819
152	327	1811
153	328	1802
154	329	1793
155	330	1785
156	331	1777
157	331	1769
158	332	1761
159	333	1753
160	334	1743
161	335	1735
162	337	1735
163	338	1727
164	339	1720
165	340	1712
166	341	1704
167	342	1697
168	343	1690
169	344	1682
170	345	1675
171	346	1668
172	347	1661
173	348	1655
174	349	1648
175	350	1641
176	352	1640
177	354	1634
178	355	1629
179	356	1623
180	357	1616
181	358	1611
182	359	1605
183	360	1598
184	361	1592
185	362	1585
186	363	1579
187	364	1573
188	365	1566
189	367	1565
190	368	1559
191	369	1554
192	370	1547
193	371	1542
194	372	1536
195	373	1530
196	374	1525
197	375	1519
198	376	1513
199	376	1507
200	377	1502
201	378	1496
202	379	1491
203	381	1487
204	382	1483
205	383	1478
206	384	1473
207	385	1467
208	386	1462
209	387	1457
210	388	1452
211	389	1447
212	390	1442
213	391	1437
214	392	1432
215	393	1427
216	394	1422
217	395	1418
218	397	1416
219	398	1411
220	399	1406
221	400	1402
222	401	1397
223	401	1392
224	402	1387
225	403	1382
226	404	1378
227	405	1373
228	406	1369
229	407	1364
230	408	1360
231	409	1355
232	411	1354
233	412	1350
234	413	1346
235	414	1341
236	415	1337
